Price,Close,High,Low,Open,Volume,MA50,MA200
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,,
Date,,,,,,,
2015-01-02,49.84857177734375,50.33142852783203,48.73143005371094,49.15142822265625,13475000,,
2015-01-05,47.31142807006836,49.25857162475586,47.14714431762695,49.25857162475586,18165000,,
2015-01-06,46.50143051147461,47.63999938964844,45.66143035888672,47.34714126586914,16037700,,
2015-01-07,46.74285888671875,47.42142868041992,46.271427154541016,47.34714126586914,9849700,,
2015-01-08,47.779998779296875,47.83571243286133,46.478572845458984,47.119998931884766,9601900,,
2015-01-09,47.04142761230469,48.02000045776367,46.8985710144043,47.63142776489258,9578100,,
2015-01-12,45.547142028808594,47.198570251464844,45.264286041259766,47.09000015258789,12944400,,
2015-01-13,46.255714416503906,47.0485725402832,45.900001525878906,46.021427154541016,18721500,,
2015-01-14,46.31999969482422,47.369998931884766,45.68000030517578,47.07143020629883,19884900,,
2015-01-15,46.25143051147461,46.78571319580078,45.84428787231445,46.547142028808594,11669000,,
2015-01-16,48.191429138183594,48.25,46.38142776489258,46.85714340209961,19696600,,
2015-01-20,49.82857131958008,50.0,47.71428680419922,48.57143020629883,40551000,,
2015-01-21,58.468570709228516,59.2400016784668,57.40999984741211,59.23428726196289,66902500,,
2015-01-22,61.20571517944336,61.37428665161133,57.82857131958008,58.57143020629883,33319300,,
2015-01-23,62.494285583496094,62.74285888671875,60.88142776489258,60.98857116699219,26784100,,
2015-01-26,63.79428482055664,63.8985710144043,61.9571418762207,62.57143020629883,21268800,,
2015-01-27,64.88143157958984,65.33999633789062,63.04999923706055,63.08714294433594,24612700,,
2015-01-28,63.20857238769531,64.82142639160156,63.08142852783203,64.7414321899414,24532900,,
2015-01-29,63.400001525878906,63.92714309692383,62.5,63.20428466796875,15127700,,
2015-01-30,63.11428451538086,63.98428726196289,62.65571212768555,63.13285827636719,13215300,,
2015-02-02,63.0099983215332,63.42856979370117,61.95571517944336,62.842857360839844,12990600,,
2015-02-03,65.27428436279297,65.4671401977539,62.72999954223633,63.31999969482422,16440200,,
2015-02-04,64.10143280029297,65.17428588867188,63.88999938964844,65.04142761230469,12450900,,
2015-02-05,64.12999725341797,65.1385726928711,63.665714263916016,64.54142761230469,14248500,,
2015-02-06,63.47999954223633,64.42857360839844,63.17571258544922,64.25,8898400,,
2015-02-09,63.29571533203125,63.78571319580078,62.637142181396484,63.198570251464844,8173200,,
2015-02-10,64.8499984741211,65.15714263916016,63.1014289855957,63.459999084472656,15418900,,
2015-02-11,64.98428344726562,66.14142608642578,64.55714416503906,64.83000183105469,13953100,,
2015-02-12,65.24714660644531,65.60713958740234,64.45143127441406,65.0585708618164,8464400,,
2015-02-13,66.5857162475586,66.62999725341797,65.42285919189453,65.42857360839844,12968900,,
2015-02-17,67.13714599609375,67.37142944335938,65.94428253173828,66.51571655273438,11170600,,
2015-02-18,67.86571502685547,68.06999969482422,66.64571380615234,67.02285766601562,10316600,,
2015-02-19,67.80000305175781,68.71428680419922,67.57428741455078,67.85713958740234,10432100,,
2015-02-20,68.31428527832031,68.37428283691406,67.63714599609375,67.94999694824219,9422000,,
