Date,Close,High,Low,Open,Volume,MA50,MA200
2015-01-02,49.84857177734375,50.33142852783203,48.73143005371094,49.15142822265625,13475000.0,,
2015-01-05,47.31142807006836,49.25857162475586,47.14714431762695,49.25857162475586,18165000.0,,
2015-01-06,46.50143051147461,47.63999938964844,45.66143035888672,47.34714126586914,16037700.0,,
2015-01-07,46.74285888671875,47.42142868041992,46.271427154541016,47.34714126586914,9849700.0,,
2015-01-08,47.77999877929688,47.83571243286133,46.47857284545898,47.119998931884766,9601900.0,,
2015-01-09,47.04142761230469,48.02000045776367,46.8985710144043,47.63142776489258,9578100.0,,
2015-01-12,45.547142028808594,47.19857025146485,45.264286041259766,47.09000015258789,12944400.0,,
2015-01-13,46.25571441650391,47.0485725402832,45.900001525878906,46.021427154541016,18721500.0,,
2015-01-14,46.31999969482422,47.369998931884766,45.68000030517578,47.07143020629883,19884900.0,,
2015-01-15,46.25143051147461,46.78571319580078,45.84428787231445,46.547142028808594,11669000.0,,
2015-01-16,48.1914291381836,48.25,46.38142776489258,46.85714340209961,19696600.0,,
2015-01-20,49.82857131958008,50.0,47.71428680419922,48.57143020629883,40551000.0,,
2015-01-21,58.46857070922852,59.2400016784668,57.40999984741211,59.23428726196289,66902500.0,,
2015-01-22,61.20571517944336,61.37428665161133,57.82857131958008,58.57143020629883,33319300.0,,
2015-01-23,62.494285583496094,62.74285888671875,60.88142776489258,60.98857116699219,26784100.0,,
2015-01-26,63.79428482055664,63.8985710144043,61.9571418762207,62.57143020629883,21268800.0,,
2015-01-27,64.88143157958984,65.33999633789062,63.04999923706055,63.08714294433594,24612700.0,,
2015-01-28,63.20857238769531,64.82142639160156,63.08142852783203,64.7414321899414,24532900.0,,
2015-01-29,63.400001525878906,63.92714309692383,62.5,63.20428466796875,15127700.0,,
2015-01-30,63.11428451538086,63.98428726196289,62.65571212768555,63.13285827636719,13215300.0,,
2015-02-02,63.0099983215332,63.42856979370117,61.95571517944336,62.84285736083984,12990600.0,,
2015-02-03,65.27428436279297,65.4671401977539,62.72999954223633,63.31999969482422,16440200.0,,
