,predicted_mean
2025-12-31,1099.2906797430746
2026-01-31,1086.2900329589397
2026-02-28,1077.64381736621
2026-03-31,1073.539491134035
2026-04-30,1071.262760113
2026-05-31,1069.759152395085
2026-06-30,1069.1097628196435
2026-07-31,1068.7190007628253
2026-08-31,1068.5396526566647
2026-09-30,1068.4412231797671
2026-10-31,1068.406669952608
2026-11-30,1068.3854506950347
